x,y,z
1.0,-0.00074,0.0
0.9943013,0.0007988,0.0
0.9849532,0.0033314,0.0
0.974578,0.0061554,0.0
0.9631277,0.0092837,0.0
0.9506192,0.012701,0.0
0.9371313,0.0163682,0.0
0.9227685,0.0202521,0.0
0.9076821,0.0243199,0.0
0.8920633,0.0285307,0.0
0.8761149,0.0328296,0.0
0.8600112,0.0371556,0.0
0.8438659,0.0414613,0.0
0.8277428,0.0457197,0.0
0.8117377,0.0498997,0.0
0.795885,0.053949,0.0
0.7800765,0.0578841,0.0
0.7643284,0.0617314,0.0
0.7487363,0.0654697,0.0
0.7333511,0.0690616,0.0
0.7181563,0.072484,0.0
0.7031038,0.0757362,0.0
0.6881805,0.0788276,0.0
0.6734047,0.0817484,0.0
0.6587687,0.0844836,0.0
0.6442293,0.0870272,0.0
0.6297375,0.0893921,0.0
0.6152948,0.0915942,0.0
0.6009528,0.093613,0.0
0.5866493,0.0954195,0.0
0.5722821,0.0970293,0.0
0.5577982,0.0984658,0.0
0.5431808,0.099751,0.0
0.5284513,0.1008967,0.0
0.513635,0.1018996,0.0
0.498735,0.1027568,0.0
0.4837485,0.1034693,0.0
0.4686737,0.1040411,0.0
0.4535153,0.1044778,0.0
0.438287,0.1047844,0.0
0.4230093,0.1049641,0.0
0.4077023,0.1050188,0.0
0.3923922,0.1049513,0.0
0.3771111,0.1047595,0.0
0.3618786,0.1044372,0.0
0.3466984,0.1039778,0.0
0.331565,0.1033791,0.0
0.3164772,0.1026442,0.0
0.3014517,0.1017803,0.0
0.2865269,0.1007935,0.0
0.2717461,0.0996819,0.0
0.2571398,0.098441,0.0
0.242731,0.0970684,0.0
0.2285478,0.0955673,0.0
0.2146276,0.0939473,0.0
0.2010311,0.0922273,0.0
0.1878552,0.0904181,0.0
0.1751605,0.0885042,0.0
0.1629445,0.0864728,0.0
0.1512044,0.0843558,0.0
0.1400197,0.082207,0.0
0.1294646,0.0800476,0.0
0.1195719,0.0778858,0.0
0.1103464,0.0757229,0.0
0.1017675,0.0735572,0.0
0.093799,0.0713897,0.0
0.0864004,0.069231,0.0
0.0795337,0.0670946,0.0
0.0731634,0.0649914,0.0
0.0672557,0.0629245,0.0
0.0617771,0.0608864,0.0
0.0566914,0.0588695,0.0
0.0519637,0.0568699,0.0
0.047563,0.054885,0.0
0.043464,0.0529063,0.0
0.0396447,0.0509231,0.0
0.0360837,0.0489277,0.0
0.0327592,0.0469212,0.0
0.0296497,0.0449106,0.0
0.0267359,0.0429046,0.0
0.0240027,0.0409087,0.0
0.0214398,0.0389233,0.0
0.0190415,0.0369434,0.0
0.016803,0.034964,0.0
0.0147191,0.032982,0.0
0.0127844,0.030996,0.0
0.0109953,0.0290044,0.0
0.0093509,0.0270042,0.0
0.0078531,0.0249916,0.0
0.006504,0.0229646,0.0
0.005307,0.020922,0.0
0.0042617,0.0188661,0.0
0.0033581,0.0168048,0.0
0.0025793,0.0147484,0.0
0.0019091,0.0127055,0.0
0.0013383,0.0106811,0.0
0.0008663,0.0086776,0.0
0.0004949,0.0066966,0.0
0.0002252,0.0047404,0.0
5.82e-05,0.0028117,0.0
-5.9e-06,0.0009112,0.0
-5.914702e-06,0.0009107641006084244,0.0
0.0288229,-0.0285635,0.0
0.0319507,-0.0298431,0.0
0.0352795,-0.0311168,0.0
0.0388375,-0.0323643,0.0
0.0426567,-0.0335776,0.0
0.0467641,-0.0347819,0.0
0.0511833,-0.0360187,0.0
0.055938,-0.0373151,0.0
0.0610578,-0.0386734,0.0
0.0665783,-0.0400816,0.0
0.0725398,-0.041522,0.0
0.0789902,-0.0429744,0.0
0.0859873,-0.0444241,0.0
0.0935937,-0.0458709,0.0
0.1018728,-0.0473165,0.0
0.1108884,-0.0487677,0.0
0.1206927,-0.0502431,0.0
0.1312738,-0.0517676,0.0
0.1425434,-0.0533072,0.0
0.1544281,-0.0547935,0.0
0.1669361,-0.0561812,0.0
0.1800619,-0.0574902,0.0
0.193717,-0.0587282,0.0
0.2077974,-0.059889,0.0
0.2221966,-0.0609572,0.0
0.2368293,-0.0619118,0.0
0.2516566,-0.062734,0.0
0.2666839,-0.0634182,0.0
0.2819217,-0.0639734,0.0
0.2973594,-0.0644155,0.0
0.312957,-0.0647568,0.0
0.328659,-0.0650008,0.0
0.3444263,-0.0651439,0.0
0.3602332,-0.0651846,0.0
0.3760568,-0.0651221,0.0
0.3918788,-0.0649558,0.0
0.4076815,-0.0646856,0.0
0.423446,-0.0643113,0.0
0.4391521,-0.0638329,0.0
0.4547761,-0.0632506,0.0
0.4702857,-0.0625635,0.0
0.4856548,-0.0617662,0.0
0.5008626,-0.0608552,0.0
0.5158812,-0.0598217,0.0
0.5307094,-0.0586449,0.0
0.5453866,-0.0572953,0.0
0.5600078,-0.0557462,0.0
0.5747042,-0.053997,0.0
0.5894833,-0.0520797,0.0
0.6043533,-0.049972,0.0
0.619429,-0.0476678,0.0
0.6347535,-0.0451975,0.0
0.6502762,-0.0426024,0.0
0.6659218,-0.0399014,0.0
0.6816362,-0.0371172,0.0
0.6973254,-0.0343095,0.0
0.7127949,-0.0315413,0.0
0.7280023,-0.0287243,0.0
0.7429897,-0.0259064,0.0
0.7575691,-0.0232791,0.0
0.7718678,-0.0208425,0.0
0.7860448,-0.0183344,0.0
0.8001022,-0.0158584,0.0
0.8139642,-0.0135787,0.0
0.8276911,-0.0115196,0.0
0.8412906,-0.009644,0.0
0.8546654,-0.0079415,0.0
0.8677138,-0.0064245,0.0
0.8803651,-0.0051177,0.0
0.8925852,-0.0040505,0.0
0.9043979,-0.0032532,0.0
0.9158608,-0.0027252,0.0
0.9269948,-0.002447,0.0
0.9378003,-0.0023938,0.0
0.9482449,-0.0025267,0.0
0.9582646,-0.0028358,0.0
0.967824,-0.0033579,0.0
0.9769721,-0.004165,0.0
0.9858017,-0.0052857,0.0
0.9943866,-0.0067147,0.0
1.0,-0.00783,0.0
